query,poi_name,wikipedia-link,answer
How long did it take to build the building?,Oberbaum Bridge,https://en.wikipedia.org/wiki/Oberbaum_Bridge,92 years
Has the bridge ever been restored?,Oberbaum Bridge,https://en.wikipedia.org/wiki/Oberbaum_Bridge,Yes the bridge was restored around 1920 to the state you see now.
What is that star supposed to represent?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,That star represents a Jewish Memorial.
When is the Jewish Memorial date?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,Nov 8
Where is this memorial located?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,"Berlin, Germany"
How old is the statue?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,15 years old
What does the factory to the left produce?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,The factory produces shoes.
Would you like to stop and get out for a picture?,Brandenburg Gate,https://en.wikipedia.org/wiki/Brandenburg_Gate,no
What is the name of the statue? ,Brandenburg Gate,https://en.wikipedia.org/wiki/Brandenburg_Gate,This is the Brandenburg Gate.
Do many weddings happen here?,Brandenburg Gate,https://en.wikipedia.org/wiki/Brandenburg_Gate,I do not believe many weddings happen here as it is more of a historical site to symbolize divided Germany.
Can you direct me to other monuments in Berlin?,Brandenburg Gate,https://en.wikipedia.org/wiki/Brandenburg_Gate,"PLatform 17 memorial, Soviet war memorial and the memorial to murdered european jews."
What is the Platform memorial and where is the location?,Brandenburg Gate,https://en.wikipedia.org/wiki/Brandenburg_Gate,it was a railway station located in Berlin. 
Is this the entrance view?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,Yes
What is housed inside the yellow building?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,"yes, a royal palace"
Is the palace open to the public for tours?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,Public tours are available Monday through Wednesday.
How much is admission?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,admission is €19 if purchased onsite or €21 online 
Is the palace visited daily?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,Yes.
"Wow, what is that building?",Botanical Garden,https://en.wikipedia.org/wiki/Berlin-Dahlem_Botanical_Garden_and_Botanical_Museum,The building is the Berlin Botanical Gardens.
How many plant varieties are grown there?,Botanical Garden,https://en.wikipedia.org/wiki/Berlin-Dahlem_Botanical_Garden_and_Botanical_Museum,"20,000"
Can you purchase plants here?,Botanical Garden,https://en.wikipedia.org/wiki/Berlin-Dahlem_Botanical_Garden_and_Botanical_Museum,You cannot purchase plants here.
Do they ever have live music in the gardens?,Botanical Garden,https://en.wikipedia.org/wiki/Berlin-Dahlem_Botanical_Garden_and_Botanical_Museum,"No, that would disturb the museum."
 i wish i lived in a house like that. How much is it worth?,Botanical Garden,https://en.wikipedia.org/wiki/Berlin-Dahlem_Botanical_Garden_and_Botanical_Museum,This is not a house it is the Berlin Botanical Gardens
In what city are we in?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,This is a memorial in Berlin.
Is there an observation floor?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,no
Who built the memorial? ,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,peter eisenman
In what year was this memorial created?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,the building was finished around December 2005. 
Is it a popular tourist attraction?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,This is a top tourist attraction for the area.
What is the name of the building that looks like a church?,Kaiser Wilhelm Memorial Church,https://en.wikipedia.org/wiki/Kaiser_Wilhelm_Memorial_Church,"It is in fact a church. It is called Kaiser Wilhelm Memorial Church built in 1890. During world war 2 it was damaged badly and it was reconstructed in 1963.People in Germany call it ""the hollow tooth""."
What city is this located in?,Kaiser Wilhelm Memorial Church,https://en.wikipedia.org/wiki/Kaiser_Wilhelm_Memorial_Church,It is located in Berlin. 
Is this a Catholic church?,Kaiser Wilhelm Memorial Church,https://en.wikipedia.org/wiki/Kaiser_Wilhelm_Memorial_Church,"No, Kaiser Wilhelm Memorial Church is a Protestant church affiliated with the Evangelical Church in Berlin, Brandenburg and Silesian Upper Lusatia, a regional body of the Evangelical Church in Germany."
What is the reason behind the local people that live there call this building the hollow tooth?,Kaiser Wilhelm Memorial Church,https://en.wikipedia.org/wiki/Kaiser_Wilhelm_Memorial_Church,The top spire gives off the image of a damaged tooth.
Is the church open for public tours?,Kaiser Wilhelm Memorial Church,https://en.wikipedia.org/wiki/Kaiser_Wilhelm_Memorial_Church,"Yes, the public can tour the church daily "
What is the history of the fountain and the building behind it?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,"Sanssouci is the summer palace of Frederick the Great, King of Prussia, in Potsdam, near Berlin. It is often counted among the German rivals of Versailles. The palace was designed/built by Georg Wenzeslaus von Knobelsdorff between 1745 and 1747 to fulfill King Frederick's need for a private residence where he could relax away from the pomp and ceremony of the Berlin court. "
Is the palace open to the public?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,"yes, it's open to the public"
What is notable about the gardens pictured?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,the two statue at the beginning of the steps.
Who are the statues of?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,Ancient greek statues of gods.
How many tourists come to the fountains every year?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,the Palace is a popular visitor center and hundreds of people come every year to see it. 
WHAT IS THIS BUILDING?,Altes Museum,https://en.wikipedia.org/wiki/Altes_Museum,"This is the Altes Museum on Museum Island in Berlin, Germany."
Do they decorate for holidays?,Altes Museum,https://en.wikipedia.org/wiki/Altes_Museum,"No, they don't decorate for holidays."
Is there a restaurant inside?,Altes Museum,https://en.wikipedia.org/wiki/Altes_Museum,The old romanian building does house a restaurant 
What is the restaurant opening times?,Altes Museum,https://en.wikipedia.org/wiki/Altes_Museum,THE  MORNING
What is that flag on top of it?,Altes Museum,https://en.wikipedia.org/wiki/Altes_Museum,Argentina 
Which building is taller?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,"The tallest building is one in brown color, the Kollhoff tower reaching the height of 93 meters."
Who do the buildings belong to? ,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,Sony
Why were they built between a road?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,To gain traction. 
How old are the buildings?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,The history of Potsdamer Platz can probably be traced back to 29 October 1685
What did the locals think when these modern buildings were built here?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,The whole project was subject to much controversy from the start; not everyone approves of how the district was commercialised and replanned.
Is that the Vatican?,Charlottenburg Palace,https://en.wikipedia.org/wiki/Charlottenburg_Palace,No
Are service animals allowed here?,Charlottenburg Palace,https://en.wikipedia.org/wiki/Charlottenburg_Palace,yes
Who visits this place?,Charlottenburg Palace,https://en.wikipedia.org/wiki/Charlottenburg_Palace,Tourists visit 
How much does it cost to visit the place?,Charlottenburg Palace,https://en.wikipedia.org/wiki/Charlottenburg_Palace,the cost id about 10 euros. 
What building is that? ,Charlottenburg Palace,https://en.wikipedia.org/wiki/Charlottenburg_Palace,I am unsure of the building's name and purpose since I am new to the area.  We can look it up though.
Are we driving over that bridge?,Oberbaum Bridge,https://en.wikipedia.org/wiki/Oberbaum_Bridge,"Yes, we will be driving over that bridge. "
When was this bridge built?,Oberbaum Bridge,https://en.wikipedia.org/wiki/Oberbaum_Bridge,1879
How much traffic crosses the bridge on an average day?,Oberbaum Bridge,https://en.wikipedia.org/wiki/Oberbaum_Bridge,MANY MORE CROSSES THE BRIDGE
Who built this bridge?,Oberbaum Bridge,https://en.wikipedia.org/wiki/Oberbaum_Bridge,It was built by the people of Berlin in 1932. 
Is that a train on the bridge?,Oberbaum Bridge,https://en.wikipedia.org/wiki/Oberbaum_Bridge,Yes it is a subway train. 
Who made the statues on top?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),"Over 400 sandstone statues and figures adorn the palace and auxiliary buildings, created by many notable sculptors, namely Johann Peter Benckert, Johann Matthias Gottlieb Heymüller (de), the brothers Johann David and Johann Lorenz Räntz and others.  "
So who was the Architect ?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),Charles Barry
How many windows are there on the building?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),There are over 50 windows 
Is there parking here?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),No.
Is it possible to go inside the building?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),"It is now owned by the University of Potsdam, and it is closed to the public."
"Please, tell me about this interesting sculpture. ",Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,It is shaped like an animal
What cultural significance is the sculpture?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,The Holocaust
Is this a tourist spot?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,3. Yes
What is the symbol in front that looks like a six-pointed star?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,It is the Star of David.
what are the tall narrow structures in the background?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,They are factory pipes 
What is this building?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),It’s a palace .
What are the stuatues in front of the building?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),Q1: This building is ? A1: A palace  Q2:The stuatues are of what/
Are there tours available? ,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),"No, you can no longer tour the property, which is owned and used by the University of Potsdam."
What is the building used for?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),It is a UNESCO World Heritage Site and is used for a museum and a theatre.
What is the cost to tour the museum?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),What kinds of kings and queens lived in this place. 
What is the meaning of the six-pointed star symbol that we're just passing now?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,"The Star of David, known in Hebrew as the Shield of David or Magen David, is a generally recognized symbol of modern Jewish identity and Judaism."
When was that artwork built?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,"Building began on April 1, 2003, and was finished on December 15, 2004. It was inaugurated on May 10, 2005, sixty years after the end of World War II, and opened to the public two days later. "
What does the leaning tower represent? ,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,"The leaning tower is a memorial for the Jewish population that experienced the inconceivable suffering caused by the Nazis. It is meant to symbolize the loneliness, powerlessness, and despair felt by those individuals. "
Where is this artwork located?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,"It is located one block south of the Brandenburg Gate, in the Mitte neighborhood in Berlin."
What is that sculpture?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,"That is a part of the Memorial to the Murdered Jews of Europe. It is part of 2,711 columns that form a vast mazelike Holocaust memorial, with an underground exhibition room."
What is the building coming up on the right that's all lit up?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,Daimler.
Is this a hotel or public building?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,This is not a hotel.  It is a public office building.
Is the building on the right open to the public?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,"Yes, it is a public square."
Is it always lit up at night like that? Even when people aren't working?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,yes its always lit up.
Q5: What year Was the building Built?  A5: 1996,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,The building was built in 1996.
When was this building made?,Botanical Garden,https://en.wikipedia.org/wiki/Berlin-Dahlem_Botanical_Garden_and_Botanical_Museum,It was constructed from 1897 to 1910. 
What is the name of the building?,Botanical Garden,https://en.wikipedia.org/wiki/Berlin-Dahlem_Botanical_Garden_and_Botanical_Museum,Botanical Garden
What are the temperature and humidity conditions inside the building?,Botanical Garden,https://en.wikipedia.org/wiki/Berlin-Dahlem_Botanical_Garden_and_Botanical_Museum,The temperature inside is 30 degrees celsius and the humidity is set to high.
Who owns the building?,Botanical Garden,https://en.wikipedia.org/wiki/Berlin-Dahlem_Botanical_Garden_and_Botanical_Museum,the city of Berlin is in control of the property of the Botanical Garden. 
Do they have activities for children?,Botanical Garden,https://en.wikipedia.org/wiki/Berlin-Dahlem_Botanical_Garden_and_Botanical_Museum,"Yes, tours with information designed for children."
Who is the man on the billboard?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,"Walter Ernst Paul Ulbricht (German: [ˈvaltɐ ˈʊlbʁɪçt]; 30 June 1893 – 1 August 1973) was a German Communist politician. Ulbricht played a leading role in the creation of the Weimar-era Communist Party of Germany (KPD) and later (after spending the years of Nazi rule in exile in France and the Soviet Union) in the early development and establishment of the German Democratic Republic (GDR or, in informal, colloquial circumstances, East Germany). As the First Secretary of the Socialist Unity Party 1950 to 1971, he was the chief decision maker in the GDR. From President Wilhelm Pieck's death in 1960 on, he was also the East German head of state until his own death in 1973. He and Stalin worked very closely and Ulbricht made sure that the German Democratic Republic was as close as it could be to the USSR (for example, the GDR joined the Warsaw Pact)."
"What is the large, white building in the background?",Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,"Emigration restrictions, the Inner German border and Berlin, Berlin Wall constructed"
Are there guided walking tours of this area available?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,No but there is a museum and an open air exhibit.
Who can see the area?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,anyone can visit the checkpoint. 
What is the name of the next cross street?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,The next cross street is Koch street which turns into Rudi-Dutschke street.
Can the public enter these buildings?,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,Since the end of September 2014 the museum is partially closed for renovation. The hall containing Pergamon Altar will remain closed to the general public. Initially the reopening was scheduled for 2019.
shall I take a photo from here,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,Yes
May photos be taken inside?,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,yes
What collections does the museum display?,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,Partially displaying antiquity collection but also Middle east and Islamic art.
What kind of things are in this musuem. ,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,Mostly artwork from the region. 
What is the building with the blue dome?,Berlin Genarmenmarkt,https://en.wikipedia.org/wiki/Gendarmenmarkt,This is the Berlin Genarmenmarkt.
What is a Genarmenmarkt?,Berlin Genarmenmarkt,https://en.wikipedia.org/wiki/Gendarmenmarkt,The Gendarmenmarkt is a square in Berlin including the Konzerthaus and the French and German Churches
Can I go inside the buildings here?,Berlin Genarmenmarkt,https://en.wikipedia.org/wiki/Gendarmenmarkt,yes they have a tour.
Is there an admission charge to tour these buildings?,Berlin Genarmenmarkt,https://en.wikipedia.org/wiki/Gendarmenmarkt,A church
"what are the hours of operation for the tours?  further, a4 is not a reasonable answer.",Berlin Genarmenmarkt,https://en.wikipedia.org/wiki/Gendarmenmarkt,They are open Monday to Sunday from 9am to 5pm.
Is that big grey building a business?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin",Yes
What kind of business is it?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin",It is a museum
What hours is it open?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin",Mon-Fri 10AM to 8PM Sat-Sun  10AM to 8PM
What kind of museum is it?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin",it was made to show respect and remembrance to Jews who died in World War 2. 
Seems interesting how much does it cost to get in?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin","Regular admission is 8 euros and children under 6 are free. Reduced admission of 3 euros is available for students with valid iD, recipients of unemployment benefits, and severely disabled people."
How old is the building to my left?,Berlin Genarmenmarkt,https://en.wikipedia.org/wiki/Gendarmenmarkt,245 years old
What was the building originally used for?,Berlin Genarmenmarkt,https://en.wikipedia.org/wiki/Gendarmenmarkt,the German Church
What is the building used for now?,Berlin Genarmenmarkt,https://en.wikipedia.org/wiki/Gendarmenmarkt,It is now used for a concert hall.
How many square feet is the building?,Berlin Genarmenmarkt,https://en.wikipedia.org/wiki/Gendarmenmarkt,"The building is approximately 200,000 square feet."
How many concerts a year are played there?,Berlin Genarmenmarkt,https://en.wikipedia.org/wiki/Gendarmenmarkt,Are there places to eat around this building and market. 
How many panes are on the top of this building? ,Teufelsberg,https://en.wikipedia.org/wiki/Teufelsberg,Around 34
What is that building used for?,Teufelsberg,https://en.wikipedia.org/wiki/Teufelsberg,this is one of the best plase of seanery so that many of people on this
Why do the people use the building?,Teufelsberg,https://en.wikipedia.org/wiki/Teufelsberg,This building is not currently in use as it is in need of repairs. 
Why are there Radars?,Teufelsberg,https://en.wikipedia.org/wiki/Teufelsberg,"There was a U.S. listening station, Field Station Berlin, there during the Cold War."
What is the purpose of the circular shaft seen in the interior of the building?,Teufelsberg,https://en.wikipedia.org/wiki/Teufelsberg,The circular shaft houses an elevator tot he top of the building.
How much does the boat cost?,Spree River,https://en.wikipedia.org/wiki/Spree,It is a ferry that costs 4 Euros.
Where does the ferry take us to? ,Spree River,https://en.wikipedia.org/wiki/Spree,To the Czech Republic
Have you taken this ferry before?,Spree River,https://en.wikipedia.org/wiki/Spree,"No, I have not"
How many people does this ferry hold?,Spree River,https://en.wikipedia.org/wiki/Spree,the Ferry can hold around 60 people for a tour. 
What waterway is the ferry on?,Spree River,https://en.wikipedia.org/wiki/Spree,The Spree River
How many soldiers are stationed at the army base?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,It is no longer a functional army post.
What is the history of this checkpoint?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,"Checkpoint Charlie (or ""Checkpoint C"") was the name given by the Western Allies to the best-known Berlin Wall crossing point between East Berlin and West Berlin during the Cold War (1947–1991)."
Is it open to the public?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,"Yes, it is open to the public."
Who is in the photo?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,A Soviet soldier.
Are Germans happy about the US Army checkpoint?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,yes
What identification and paperwork is necessary for me to go through that checkpoint?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,You do not require any paperwork or identification to go through Checkpoint Charlie.
Does the white building house retail shops?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,The white building does not house retail shops.
Is there car parking nearby? ,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,There is parking around the museum and other buildings nearby.
Is it raining?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,"With cloudy skies, it appears as if it was raining. "
Who is in the photo?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,It is a generic image of a Soviet soldier.
Is there a lookout on top of the building?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,yes
What is the name of the tower building on the right?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,It is the Daimler building.
what is the name of the building with the lookout?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,That is the Potsdamer Platz. 
How much longer will it take to get to the building?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,Can the public go for a tour of this building? 
Who owns the curved brightly lit tall building to the right?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,Is there any place you can dine in the building on the left? 
Is that building under construction?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin",It was opened in 2001.
What is up with the building's odd shape?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin",A1. The Jewish Museum was opened in 2001. A2. The American architect Daniel Libeskind tried to recount Geman-Jewish history through the design of the building. The structure allows for many interpretations and for some it represents a broken Star of David.  
What other structures has Daniel Libeskind designed?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin","He has designed numerous cultural and commercial institutions, museums, concert halls, convention centers, universities, residences, hotels, and shopping centers. The studio's most recent completed projects include Haeundae Udong Hyunai I'Park in Busan, South Korea, Academy of the Jewish Museum Berlin in Berlin, Germany, modifications and additions to the Bundeswehr Military History Museum in Dresden, Germany and Reflections at Keppel Bay in Singapore."
How old is the building?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin",it was founded around 1933. 
How deep is the snow?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin",The snow is about an inch deep.
"If I turn left, where would that take me? ",Neue Kirche,"https://en.wikipedia.org/wiki/Neue_Kirche,_Berlin",You would go to the Gendarmenmarkt.
Is there any bridge near,Neue Kirche,"https://en.wikipedia.org/wiki/Neue_Kirche,_Berlin",Yes there is a bridge around 600m away 
Is this a public building?,Neue Kirche,"https://en.wikipedia.org/wiki/Neue_Kirche,_Berlin",YES
What are the hours that it's open to the public?,Neue Kirche,"https://en.wikipedia.org/wiki/Neue_Kirche,_Berlin",9-6
what is the building in the picture called?,Neue Kirche,"https://en.wikipedia.org/wiki/Neue_Kirche,_Berlin",Where is this located in town. 
Are we turning right after the mural?,Berlin Wall,https://en.wikipedia.org/wiki/Berlin_Wall,no
What city in this mural in when was it done?,Berlin Wall,https://en.wikipedia.org/wiki/Berlin_Wall,"the wall is located in the city of Berlin, Germany and the mural was done around 1979. "
Is this walking distance from Checkpoint Charlie?,Berlin Wall,https://en.wikipedia.org/wiki/Berlin_Wall,"No, we are not walking distance from Checkpoint Charlie, but we are within driving distance."
Who is in the mural?,Berlin Wall,https://en.wikipedia.org/wiki/Berlin_Wall,Soviet leader Leonid Brezhnev and Germany President Erich Honecker 
How cold does it get here in the winter?,Berlin Wall,https://en.wikipedia.org/wiki/Berlin_Wall,"Very cold. It is on average 0.5 degrees Celsius. In February,  It is 1.5 degrees Celsius and in December it is 2 degrees Celsius"
"If I were to stay at the hotel, where should I park?",Radisson Blu,https://en.wikipedia.org/wiki/Radisson_Blu,The nearest parking lot is Q-Park Am Alexanderplatz.
"If I were to stay at the hotel, where should I park?",Radisson Blu,https://en.wikipedia.org/wiki/Radisson_Blu,The nearest parking lot is Q-Park Am Alexanderplatz.
Can you tell me if there is any disabled parking near the hotel?,Radisson Blu,https://en.wikipedia.org/wiki/Radisson_Blu,The hotel has paid parking. So yes if your willing to pay. 
Is the hotel open 24 hours?,Radisson Blu,https://en.wikipedia.org/wiki/Radisson_Blu,yes
What are the rates for a single bed room in the Radisson??,Radisson Blu,https://en.wikipedia.org/wiki/Radisson_Blu,Most websites for the hotel seem to average about 220 per night.
Is this a famous monument?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,Yes
What's the name of this place?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci," Sanssouci Palace. The South or Garden façade and corps de logis of Sanssouci is the summer palace of Frederick the Great, King of Prussia, in Potsdam, near Berlin."
Do they have a restaurant here?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,No restaurant is listed online.
Are there overnight accommodations available?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,"Yes, would you like to reserve one?"
How much is it to stay a single night?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,It will be the 50 dollar per night
How many square foot is that building?,Charlottenburg Palace,https://en.wikipedia.org/wiki/Charlottenburg_Palace,4.1 sq mile is that building. Make sure I see the link 
What's the name of the building?,Charlottenburg Palace,https://en.wikipedia.org/wiki/Charlottenburg_Palace,The Charlottenburg Palace
Are there any restaurants inside the Palace?,Charlottenburg Palace,https://en.wikipedia.org/wiki/Charlottenburg_Palace,"The former Orangery houses a restaurant and café. Destroyed during World War II, the Great Orangery was reconstructed on the model of the baroque building. Today, it shines in its old brilliance again. The light-flooded festival room provides a pleasant framework for cultural events, concerts and banquets."
How was it destroyed during World War II?,Charlottenburg Palace,https://en.wikipedia.org/wiki/Charlottenburg_Palace,"In 1943, during a British air raid, the palace was hit by a bomb which caused a fire that completely destroyed the building."
What are the hours that the Orangery is open ?,Charlottenburg Palace,https://en.wikipedia.org/wiki/Charlottenburg_Palace,"It is open from 10am-5pm (October to February), 10am-6pm (March to September) | Afternoon Tea: Daily 15:00-18:00"
Is there a double bed room available,Radisson Blu,https://en.wikipedia.org/wiki/Radisson_Blu,Yes
Where is structure located?,Radisson Blu,https://en.wikipedia.org/wiki/Radisson_Blu,"Berlin, Germany."
Is this hotel centrally located to common tourist attractions?,Radisson Blu,https://en.wikipedia.org/wiki/Radisson_Blu,"A1. Yes rooms with double beds are available. A2. The hotel is located on Karl-Liebknecht strasse in Berlin, Germany. A3. The hotel is located near to popular tourists attractions including Berlin Cathedral and the famous TV Tower at Alexanderplatz."
Do they allow pets in the rooms?,Radisson Blu,https://en.wikipedia.org/wiki/Radisson_Blu,No
Does the Radisson help you schedule tours of the city?,Radisson Blu,https://en.wikipedia.org/wiki/Radisson_Blu,yes they can
Is this building air conditioned? ,Botanical Garden,https://en.wikipedia.org/wiki/Berlin-Dahlem_Botanical_Garden_and_Botanical_Museum,Yes this building is air conditioned with equipment designed for greenhouse use. 
Can you purchase plants at this greenhouse. ,Botanical Garden,https://en.wikipedia.org/wiki/Berlin-Dahlem_Botanical_Garden_and_Botanical_Museum,no you can't
Do they offer any kind of internship program to learn about the plants grown here? ,Botanical Garden,https://en.wikipedia.org/wiki/Berlin-Dahlem_Botanical_Garden_and_Botanical_Museum,"Possibly, if you contact the Free University of Berlin, which operates the garden."
How old is the building?,Botanical Garden,https://en.wikipedia.org/wiki/Berlin-Dahlem_Botanical_Garden_and_Botanical_Museum,It was constructed between 1897 and 1910
What plants does the greenhouse have inside?,Botanical Garden,https://en.wikipedia.org/wiki/Berlin-Dahlem_Botanical_Garden_and_Botanical_Museum,In what city is this greenhouse located?
This area is beautiful is traffic around here bad?,Neue Kirche,"https://en.wikipedia.org/wiki/Neue_Kirche,_Berlin",Today's traffic is normal in Neue Kirche. It's very calm.
Is there public parking nearby?,Neue Kirche,"https://en.wikipedia.org/wiki/Neue_Kirche,_Berlin",YES
What is the name of this building?,Neue Kirche,"https://en.wikipedia.org/wiki/Neue_Kirche,_Berlin",The Name of the building is Neue Kirche
Are there any restaurants near the Neue Kirche?,Neue Kirche,"https://en.wikipedia.org/wiki/Neue_Kirche,_Berlin",There are 3 steakhouses in the surrounding 2 mile radius.
What is in the dome in top of this building?,Neue Kirche,"https://en.wikipedia.org/wiki/Neue_Kirche,_Berlin","The dome is part of the building's design, giving it the nickname Deutscher Dom."
What is this structure ahead of me?,Brandenburg Gate,https://en.wikipedia.org/wiki/Brandenburg_Gate,Pillars of time 
Who originally built them?,Brandenburg Gate,https://en.wikipedia.org/wiki/Brandenburg_Gate,Carl Gotthard Langhans
